content,content_stem,score,target
"An online shopping app that has the cheapest options. But the reason for the 3 stars is the terrible UI/UX design. The whole app reminds me of a pasar malam. There are so many things going on the interface that makes navigation through the app frustrating. Repetitive promotions, poor affordance in clickables etc. The app looks like a claustrophobic mess. Just a designer critique.",onlin shop cheapest option reason star terribl ui ux design whole remind pasar malam mani thing go interfac make navig frustrat repetit promot poor afford clickabl etc look like claustrophob mess design critiqu,3,1
"Service has improved significantly since a few months ago. Now fairly quick and helpful, and they have always been polite. Products are generally cheap but poorly made. Buy stickers here or screws, but anything that needs slightly more precise construction (figurines, knives, anything with gears, musical instrument parts) is going to come unusable. Generally the best of the Asian online shops though, better than lazada or Qoo10",servic improv significantli sinc month ago fairli quick help alway polit product gener cheap poorli made buy sticker screw anyth need slightli precis construct figurin knive anyth gear music instrument part go come unus gener best asian onlin shop though better lazada qoo,4,0
Mostof the products are nice and reasonable price but sometimes delivery will took longer.,mostof product nice reason price sometim deliveri took longer,4,0
Like shopee delivery really fast ! However if can waive delivery charge I will surely buy more items . however feel shoppee lack of giving discount coupon which other Interent platform gives . hope to get some discount from shoppee .,like deliveri realli fast howev waiv deliveri charg sure buy howev feel lack give discount coupon inter platform give hope get discount,4,0
"Unable to pay using credit card (visa/mastercard)! Been using shopee for years and have no issue before this. Contacted shopee agent and they took so long to resolve, yet they replied with an unsolved problem. Very disappointed!",unabl pay use credit card visa mastercard use year issu contact agent took long resolv yet repli unsolv problem disappoint,1,1
"Deleted the app and my account. Received several defective item from sellers. Never got refunded. Moreover, my honest review of a received damaged product was hidden from view. This was after I contacted Shoppee customer support TWICE. This tells me that Shoppee does not look after customer interests but supports scammers. It's like the more money to be made from defective products the better, truth and customer rights be damned. It's safer to shop traditionally.",delet account receiv sever defect never got refund moreov honest review receiv damag product hidden view contact custom support twice tell look custom interest support scammer like money made defect product better truth custom right damn safer shop tradit,1,1
"Even after I have took the time to explain clearly my issue and my case was not justly resolved. it was even more ridiculous that the shop with fulfill by Shopee garantee.Now I was left with paying the money for no goods no items at all. The encounter has left great distaste for my shopping experience at here. For years of shopping with Shopee, you have now disappointed me so much. And for the $10 over dollars, yoi have achieved in losingna long time customer. You can keep that $10 over do",even took time explain clearli issu case justli resolv even ridicul shop fulfil garante left pay money good encount left great distast shop experi year shop disappoint much dollar yoi achiev losingna long time custom keep,1,1
"Seems to be a network error after the last update. Purchases not showing, and not able to contact seller. Payment has been charged to credit card though. Please fix this bug.",seem network error last updat purchas show abl contact payment charg credit card though pleas fix bug,1,1
"Ur app is super laggy. I cant use it. I alr uninstall, reinstall, update, clear cache etc. Hopelessly slowwwwwwww Wanted to get hold of customer service. I gave up, i was #63 in line..",ur super laggi cant use alr uninstal reinstal updat clear cach etc hopelessli slowwwwwwww want get hold custom servic gave line,1,1
"Compared to lazada, shoppee more efficient & reliable, recently received a defect product, raised a refund, within a day money was credited to my account.lazada took more then a week yet no news 🙄",compar lazada effici reliabl recent receiv defect product rais refund within day money credit account lazada took week yet news,5,0
Wish to have more varieties and choices. But overall experience is nice.,wish varieti choic overal experi nice,4,0
"Tapping on the back button on the android navigation bar no longer does anything, please fix this.",tap back button android navig bar longer anyth pleas fix,4,0
"Some glitches with the app from time to time and hanging of the app but other than that, it's pretty good",glitch time time hang pretti good,4,0
After using it for a few purchases quite easy to navigate. Look forward to see more upgrades to better experience. Especially on search function.,use purchas quit easi navig look forward see upgrad better experi especi search function,5,0
"Terrible and slow customer service. Seller fault is customer pay for it. Return and refund, we dont have so much time! Don't expect successful partial refunds for damaged goods that arrive with zero protection. Logistics is horrible as well, takes a whole week to deliver an item. Even my overseas parcels arrive faster. Uninstalling this app after finishing my coins.",terribl slow custom servic fault custom pay return refund dont much time expect success partial refund damag good arriv zero protect logist horribl well take whole week deliv even oversea parcel arriv faster uninstal finish coin,1,1
Over good experience however i am using samsung a50 to browse the app. Sometimes if i browse too many pages. The app might get abit laggy.,good experi howev use samsung brows sometim brows mani page might get abit laggi,4,0
"It's a good shopping app and l buy a lot of items on it. Only thing l didn't like is the limited space given for product reviews. If l am not wrong, it's limited to less than 500 characters. This much space is not sufficient to wrote good detailed reviews on products we buy. Please check the space given by great platforms like Amazon.",good shop l buy lot thing l like limit space given product review l wrong limit less charact much space suffici wrote good detail review product buy pleas check space given great platform like amazon,5,0
Easier to use than it first started. Shipping charge is acceptable. Could offer more vouchers for low spenders and limit to three vouchers per user so everyone can enjoy the voucher.,easier use first start ship charg accept could offer voucher low spender limit three voucher per user everyon enjoy voucher,4,0
"My go to online shopping. Besides getting slow response from some overseas seller, overall i enjoyed my experience here. Been using shoppe since 2017/2018, all is good. There was 1 incident where seller send me wrong color & refund process was a breeze. Keep it up! Ohh.. please read reviews of each seller before making ur purchase.",go onlin shop besid get slow respons oversea overal enjoy experi use shopp sinc good incid send wrong color refund process breez keep ohh pleas read review make ur purchas,5,0
"Has bugs sometimes e.g can't visit shop, crashes and restarts, has some latency also",bug sometim e g visit shop crash restart latenc also,4,0
"Bought a few electronic items and most has problem. If you buy vouchers, just before expiry, the app logged me out and I was not able to retrieve the voucher. No refund. If you want to buy second rated items n perhaps, fake ones, look no further",bought electron problem buy voucher expiri log abl retriev voucher refund want buy second rate n perhap fake one look,2,1
Good apps..a lot thing to choose and buy..just a bit of disappointed when my order cancelled by seller without any reason but still can give 4⭐for fast delivery 😊,good app lot thing choos buy bit disappoint order cancel without reason still give fast deliveri,4,0
Can you please create another payment method which is via google gift card as some people uses google gift gards then using credit card. This is just a suggestion for you guys to put in but overall the app is great! It is full of things that people need! Keep up the good work! I am hoping to see the new google gift card payment method in the future.,pleas creat anoth payment method via googl gift card peopl use googl gift gard use credit card suggest guy put overal great full thing peopl need keep good work hope see new googl gift card payment method futur,4,0
"Keep getting error when using their Shopeepay payment. Poor Customer Support. No follow up on issue, even if to inform that it's been resolved. We are expected to try our luck to make the Shopeepay payment again & again that hopefully goes through.",keep get error use shopeepay payment poor custom support follow issu even inform resolv expect tri luck make shopeepay payment hope goe,1,1
Good service. Fast and prompt delivery n friendly delivery team.,good servic fast prompt deliveri n friendli deliveri team,5,0
"Now the vouchers must use shopeepay, free delivery voucher also must use shopee pay. I am writing this not to shopee, as u can see they will just cut and paste standard reply, but for other shopee members or anyone who wants to know more. Shopee pets is damn unstable, and very difficult to change to coins, always oos. Also watch out the trap on the trapoline game, the pop up of 2coins thingy, if u are not careful, u might accidentally hit and pay 2 coins. Shopee becoming damn desperate now.",voucher must use shopeepay free deliveri voucher also must use pay write u see cut past standard repli member anyon want know pet damn unstabl difficult chang coin alway oo also watch trap trapolin game pop coin thingi u care u might accident hit pay coin becom damn desper,1,1
"great variety of products to buy and delivery is fast, items often delivered in good condition. and variety is better as compared to other retailers. also like the constant promotions and games on the app!",great varieti product buy deliveri fast often deliv good condit varieti better compar retail also like constant promot game,5,0
"Updated: No improvement at all. Getting much worser with shopee. Absolutely ridiculous sellers. ---------------------- Utter waste. Don't know if they do some check on the sellers. We don't always get what we have ordered. It's always different product and it's waste of time to order and return it. Also there is no proper channel to return the items. If we give negative feedback on seller even if it is true, the shopee admins will remove or hide the feedback. Very bad. Lazada is far better",updat improv get much worser absolut ridicul utter wast know check alway get order alway differ product wast time order return also proper channel return give neg feedback even true admin remov hide feedback lazada far better,1,1
Good ecommerce app which has wide variety of products and offers competitive prices and features.,good ecommerc wide varieti product offer competit price featur,4,0
"Many China sellers post as local Singapore sellers. When u buy from them, they make u wait and then cancel saying its out of stock. However, that post still stays in stock. Or the shipping takes forever to come, just like aliexpress. Shopee should review how long sellers get the items shipped to buyers. 1 month from China is way too long!",mani china post local singapor u buy make u wait cancel say stock howev post still stay stock ship take forev come like aliexpress review long get ship buyer month china way long,2,1
Wonderful and very convenient,wonder conveni,5,0
"Used to be a great online shopping apps,there are still other platforms to shop now..",use great onlin shop app still platform shop,1,1
"I feel cheated by Shoppee on my first use. Started using on 10.10. I had a voucher for $10 off $20, for new user. Was planning to use it. Who knew that when Shoppee asked me to choose a ""free welcome gift"" (which btw wasn't free as I had to pay shipping) and FORCED me to use it before I could purchase the other orders, this would invalidate my $10 voucher? My voucher was GONE with the wind. Once I receive this first order, I will cancel this as I'm rather pissed with Shoppee",feel cheat first use start use voucher new user plan use knew ask choos free welcom gift btw free pay ship forc use could purchas order would invalid voucher voucher gone wind receiv first order cancel rather piss,1,1
I Came Across A Seller Whom Item Send Wrong And Took A Photo To Seller..It Takes 7 Days Asking Stupid Question..In The End..It Refund Only Shipping Fee..! SO shopee Does Not Protected Buyer Interest ! As Buyer Loose out In Such A Way...Very Disappointed...With Shopee...!,came across send wrong took photo take day ask stupid question end refund ship fee protect buyer interest buyer loos way disappoint,4,0
"Given 4 stars because there seems to be a bug. After browsing for a while the app seems to be slow in response. And sometimes after launching the app, icons in the app and listing images are huge.",given star seem bug brows seem slow respons sometim launch icon list imag huge,4,0
"A wide variety of products at cheap prices. Flash deals update often, and the games that let you win coins are reasonably fun. I make most of my online purchases from shopee.",wide varieti product cheap price flash deal updat often game let win coin reason fun make onlin purchas,5,0
"I have edited my rating. If I have a choice, I will rate zero star! Have been with Shopee for three years. Very very, very disappointed with the delivery service lately. Shopee would spend tons of money having big movie stars for TV commercial, but, would not invest in its logistic and delivery service. What is the point of advertising and promoting your brand whereby customers cannot receive their purchases on time! Shopee could not even trace the whereabout of the parcels! What a shame!!!!",edit rate choic rate zero star three year disappoint deliveri servic late would spend ton money big movi star tv commerci would invest logist deliveri servic point advertis promot brand wherebi custom cannot receiv purchas time could even trace whereabout parcel shame,1,1
"I mostly received all my items. Waiting time is acceptable, delivery men almost sent most my items in hand. Hope i can get all my items on time and in hand again on my next purchase.",mostli receiv wait time accept deliveri men almost sent hand hope get time hand next purchas,4,0
One of the trustworthy online shopping app,one trustworthi onlin shop,5,0
Bad already la. Last time good. Everytime so buggy the app! And then nw cant even search anything. Show no results. Improve something lei.. like increase the limitation of 200seller in the 'add to cart' .. bring back free delivery .. vouchers to be more usable rather than shopeepay³!,alreadi la last time good everytim buggi nw cant even search anyth show result improv someth lei like increas limit add cart bring back free deliveri voucher usabl rather shopeepay,2,1
"Easier since payment method is saved to have smooth purchase. If the seller is not legit or what, shoppee team does the screening to prevent all sort of scams and etc. I can rely i will get my refund back for any order cancelation and so on.",easier sinc payment method save smooth purchas legit team screen prevent sort scam etc reli get refund back order cancel,5,0
"I will compare Lazada,Q10 prices before ordering as those 2 platforms give better discount. Here it is stupid that u need to grab free shipping vouchers despite meeting the free shipping amount and the check in rewards is pathetic, I prefer Q10 rewards and recently Lazada cashback is Super good",compar lazada q price order platform give better discount stupid u need grab free ship voucher despit meet free ship amount check reward pathet prefer q reward recent lazada cashback super good,3,1
Convenient. Payment is easy.,conveni payment easi,5,0
"For the last 2 years I been recommend my friends and colleagues about how trust worthy shopee app is. But now I can't anymore as seller become more and more being dishonest. They list a good price, payment made, they not willing to sell instruct us to cancel order to reorder again when they increase their price unreasonablely high and or cancel my order during their shipping period and block me, have escalate this issues before, and now is the third time a seller dishonest with their listing.",last year recommend friend colleagu trust worthi anymor becom dishonest list good price payment made will sell instruct us cancel order reorder increas price unreason high cancel order ship period block escal issu third time dishonest list,4,0
"User friendly and pack full of stuffs with various choice of each items from numerous shop.Refund and cancellation with valid reasons process efficiently althou there'll be incidence where owner aint amiable and reject request of refund even with gd reasons.Also,a little troublesome when owner requested to send the items back.However,there are still many other good shops with nice and helpful owners.Try it and shop endlessly!",user friendli pack full stuff variou choic numer shop refund cancel valid reason process effici althou incid owner aint amiabl reject request refund even gd reason also littl troublesom owner request send back howev still mani good shop nice help owner tri shop endlessli,4,0
Good that we can buy from Singapore. But most sellers respond is poor. Unlike taobao their respond is instant.,good buy singapor respond poor unlik taobao respond instant,5,0
Shopee together with Seller cheated and lied to Buyer over under $5 items that was not received.In a dispute msges they emailed an attach of what they call 'proof' a box way too big for 2 tiny weeny rings I ordered. Why the delivery didnt whatsapp me on the time he delivered if he really delivered the item? The image they email didnt have my name or unit no on it. Nice try Shopee but shame on you lying over a $5 item.,togeth cheat lie buyer receiv disput msge email attach call proof box way big tini weeni ring order deliveri didnt whatsapp time deliv realli deliv imag email didnt name unit nice tri shame lie,1,1
"I used to purchase items which gains my trust in buying, however products quality defects recently have a surge in rise. plus buying makes disappointment in what was advertise. moreover seller items are not very reliable when selling. In long term rise i don't think i will spend to buy unless it was needed.",use purchas gain trust buy howev product qualiti defect recent surg rise plu buy make disappoint advertis moreov reliabl sell long term rise think spend buy unless need,1,1
Items are more or less selected. Good that items have got reviews. Great incentive like shopee coins to encourage buyers to give reviewd,less select good got review great incent like coin encourag buyer give reviewd,4,0
Great place to do online shopping,great place onlin shop,5,0
You are doing good Job. Keep up the good work and aspire to be best.,good job keep good work aspir best,4,0
"My preferred online shopping platform as it has measures to protect consumers against dishonest sellers. Really love that you can ask for return or full refund through Shoppee instead of dealing/haggling with sellers directly. I have asked for refund or return a few times when seller try to pull a fast one by sending products that is damaged, product that is not true to what is posted on seller's advertisement and also for delivering short of ordered qty. Hands down better than Lazada.",prefer onlin shop platform measur protect consum dishonest realli love ask return full refund instead deal haggl directli ask refund return time tri pull fast one send product damag product true post advertis also deliv short order qti hand better lazada,5,0
"This app was working well, but suddenly on clicking cart it says ""Feature not available"". Instead of standard templated bot like responses to reviews, please work on fixing them",work well suddenli click cart say featur avail instead standard templat bot like respons review pleas work fix,2,1
"Shoppee coins are a scam. I had coins expiring, when trying to use it as guided in the app, there are no items to buy. I write to support and there is no response after 6 days. I am uninstalling the app",coin scam coin expir tri use guid buy write support respons day uninstal,1,1
"It's convenient for me to use because now a days I cannot go out buy things, and what I want. And so many things to choose. And easy to compare the things you want to buy to other shop owners and there's a game it's very fun because you earn coins even it's little money but it's worth.",conveni use day cannot go buy thing want mani thing choos easi compar thing want buy shop owner game fun earn coin even littl money worth,5,0
Great buying experience. But sometimes items received maybe different from what you may have purchased,great buy experi sometim receiv mayb differ may purchas,4,0
The apps is very informative. But sometimes it will become very slow when downloading data of products.,app inform sometim becom slow download data product,4,0
"Enjoys doing my shopping with shopee. Most of sellers are responsible and responsive (99%). Only met 1 seller didn't sent my items and gave excuse when I contact him/her. I msg to Shopee, staff helped me to cancel and refund with fast action 🥰 Appreciated !",enjoy shop respons respons met sent gave excus contact msg staff help cancel refund fast action appreci,4,0
Easy and fast,easi fast,4,0
"Recently rated some item which I purchased,but couldn't earn points for the rating , quite disappointed, so I gave up,never rate my purchase again.",recent rate purchas earn point rate quit disappoint gave never rate purchas,3,1
It's really helping reading the reviews n can check others photo of the item sold. But counterfeit product also quite a lot. Even stated as original but it's not. N app quiet often lag/slow down n not showing the pic after scrolling the app for quite sometime,realli help read review n check other photo sold counterfeit product also quit lot even state origin n quiet often lag slow n show pic scroll quit sometim,4,0
"Bad delivery. Although fast delivery,usually faster than the date specified. We r Changing feedback from good delivery to bad delivery..Because message not followed. Box of groceries, left at door, when message I typed in as request was ro ring door bell and deliver. No phone message/no door bell...just left outside. Pandemic/ infection/ when rules changed no longer holds...Also insecticide spray, no safety seal, was inside grocery box, although tied In a plastic bag..Bad",deliveri although fast deliveri usual faster date specifi r chang feedback good deliveri deliveri messag follow box groceri left door messag type request ro ring door bell deliv phone messag door bell left outsid pandem infect rule chang longer hold also insecticid spray safeti seal insid groceri box although tie plastic bag,1,1
"My mom intro me to shopee. Don't really trust order from china. But, now becomes my favorite online shopping for trust, best price and fast delivery! 😁🤗😂😅🤓",mom intro realli trust order china becom favorit onlin shop trust best price fast deliveri,4,0
Love the price and variety of products sold in the platform.,love price varieti product sold platform,5,0
Excellent portable with wide range of products. Peace of mind as any dispute with seller will be managed by shoppe team. Great support.,excel portabl wide rang product peac mind disput manag shopp team great support,4,0
App is good. But the business model aka deals and vouchers is not useful for most people who will never get anything if they are not fast enough. I typically look for alternative deals elsewhere on other platforms.,good busi model aka deal voucher use peopl never get anyth fast enough typic look altern deal elsewher platform,3,1
"Shopeepay topup screws up on sunday, can't get thru to any live chat for help. Until today then I see the money in shopeepay... and pathetic amount of coins to write review. I'd really want to praise some sellers for their superb service, but the review in app keep crashing after you write a line of text.",shopeepay topup screw sunday get thru live chat help today see money shopeepay pathet amount coin write review realli want prais superb servic review keep crash write line text,2,1
Have a pleasant time using shopee however i notice this issue in which some people cannot add in their installment payment method which wasn't shown or being able to select via add payment tab. Overall is great and had fun getting items i need most of the time,pleasant time use howev notic issu peopl cannot add instal payment method shown abl select via add payment tab overal great fun get need time,4,0
Good user interface. Easy to use. Much clarity during payment. I appreciate that shopee helps to ensure most products are genuine but of course purchases should be made with discernment. Pretty addictive if isn't careful.,good user interfac easi use much clariti payment appreci help ensur product genuin cours purchas made discern pretti addict care,5,0
"The App keeps closing and shutting down by itself. Very frustrating. Also, there's no options to turn off unwanted notifications.",keep close shut frustrat also option turn unwant notif,1,1
Unable to load suddenly,unabl load suddenli,1,1
Very easy to use and user friendly. I like the predictability feature of the software. Good search capabilities too.,easi use user friendli like predict featur softwar good search capabl,5,0
"Seen all those advertising, decided to download the app. Signed up as new member, I was unable to redeem my ""new member"" free item. Made a purchase, then the ""new member"" section disappeared. Please do something about the app, very disappointed as I didn't receive the same benefits as others.",seen advertis decid download sign new member unabl redeem new member free made purchas new member section disappear pleas someth disappoint receiv benefit other,1,1
not bad. many things to be purchased from this app. but then there is a error every now and then and its quite annoying,mani thing purchas error everi quit annoy,2,1
"Most of the sellers are honest, a few sell faulty stuff at very cheap and don't want to answer your questions 😑",honest sell faulti stuff cheap want answer question,4,0
"Great. Okie at the moment. At times it crashes and loads up quite slow. Not sure if its e phone or e app itself. Overall, enjoyed e app. Thank you.",great oki moment time crash load quit slow sure e phone e overal enjoy e thank,5,0
Have been buying since CB. Definitely can find items that I want. Have to be diligent to find the right product at a bargain. Otherwise might be paying at a higher price.,buy sinc cb definit find want dilig find right product bargain otherwis might pay higher price,5,0
Application is good bit I don't like the shopee agreement and policy. When I want to return the product shoppe is giving credit only to the seller and they are not considering the customer request. I hate this. So for the costly product I prefer other online portal.,applic good bit like agreement polici want return product shopp give credit consid custom request hate costli product prefer onlin portal,3,1
"Actually iam satisfied using shopee apps to buy my stuff, but i have a bit dissapointed about the slow respon of seller and i have one problem. I didnt get my refund yet 😪",actual iam satisfi use app buy stuff bit dissapoint slow respon one problem didnt get refund yet,4,0
"Fast delevery, reasonable price. Most item that i want can find in here.",fast deleveri reason price want find,4,0
I think they have bug in app recently. Kept restarting and having error whenever i click on certain options like checking on status of refund or getting vouchers or checking status of goods. It will say error then app will relaunch then u need keep refreshing or try again before it is ok,think bug recent kept restart error whenev click certain option like check statu refund get voucher check statu good say error relaunch u need keep refresh tri ok,1,1
"The Apps was okay, my ordered ,we received earlier than the date delivered",app okay order receiv earlier date deliv,4,0
You need not have to see the physical items in order to buy.. pictures are clear for view. Have enjoyed shoppe ☺️!,need see physic order buy pictur clear view enjoy shopp,4,0
My experience thus far has been good with a wide variety of selection to make and the placements of orders have been a breeze. Prices have been competitive though I found out that prices for some items can be slightly on the higher side than its competitors. So need to do your homework before making your purchase.,experi thu far good wide varieti select make placement order breez price competit though found price slightli higher side competitor need homework make purchas,5,0
"Website user friendly, but should have more variety for selection... so that shopper no need to extend seach to other site.",websit user friendli varieti select shopper need extend seach site,4,0
Please fix pressing buttons (BACK) arrow on samsung note phone. Cannot press go back menu on shoppee 😡😡😡,pleas fix press button back arrow samsung note phone cannot press go back menu,1,1
"Fast delivery, good price, lots of different merchandise, lucky draws, discounts and new wonder products",fast deliveri good price lot differ merchandis lucki draw discount new wonder product,5,0
"The only fault I could find with shopee is the delivery. Despite I call them few times and even started clearly during the purchase that I need them to call me half an hour before they arrive as its big boxes and rather expensive items, the driver just dumped it outside my house. Because of this I am just giving 4 stars instead of 5",fault could find deliveri despit call time even start clearli purchas need call half hour arriv big box rather expens driver dump outsid hous give star instead,4,0
"It used to be my primary shopping platform but don't know why it's keep crashing recently, only home page is showing content, everything I clicked it will show oops something is wrong. Totally cannot be used now.",use primari shop platform know keep crash recent home page show content everyth click show oop someth wrong total cannot use,3,1
"The app is super buggy. Takes forever and always hangs when downloading to install the latest updates. Even when you cancel the downloading, it will pop up automatically by itself to keep downloading but never does complete when you click on the app. Could the developer look into this? Thank you.",super buggi take forev alway hang download instal latest updat even cancel download pop automat keep download never complet click could develop look thank,1,1
No longer show the current location of our orders. It is better to have this function to help gauge the arrival of our orders.,longer show current locat order better function help gaug arriv order,3,1
Finds it better price than other competitors,find better price competitor,5,0
"Was good but now Shopee had many unscrupulous sellers who posted different picture from the actual product. Many were counterfeit products as well. When raising dispute, Shopee will side with seller. Be careful when buying from Shopee.",good mani unscrupul post differ pictur actual product mani counterfeit product well rais disput side care buy,3,1
"Shopee gives you a lot of vouchers, which are very useful because of how cheap some products are, especially when your on a budget.",give lot voucher use cheap product especi budget,4,0
A bit disappointed. The watch I bought has no live battery and warranty card was not enclosed.,bit disappoint watch bought live batteri warranti card enclos,4,0
"Cancel/refund policy is very poor. It doesn't protect buyers from unethical sellers. Any cancel/refund at seller's discretion and its dispute channel is a joke. Again it's at seller's discretion to accept the refund request. Chat agent's advise is useless. Followed as per advised but still received rejection from seller. Good platform to buy things online but do note that when dispute arises on your online purchases, the advantage will be at seller's end.",cancel refund polici poor protect buyer uneth cancel refund discret disput channel joke discret accept refund request chat agent advis useless follow per advis still receiv reject good platform buy thing onlin note disput aris onlin purchas advantag end,1,1
As far good experience as seller and buyer. Particular happy with the fast collection of seller income.,far good experi buyer particular happi fast collect incom,4,0
Order in good condition and worth the money,order good condit worth money,5,0
A very convenient online platform to buy an array of stuff. It is now my go-to shopping platform whenever I need to buy things as it is so easy to navigate and search for the things I want. Very competitive prices for the items sold too.,conveni onlin platform buy array stuff go shop platform whenev need buy thing easi navig search thing want competit price sold,5,0
Very good online platform to purchase item from website. Easy to use and free games to play can receive some discount rewards. Very interesting!,good onlin platform purchas websit easi use free game play receiv discount reward interest,4,0
The rating page is super laggy. Hope they fix this.,rate page super laggi hope fix,4,0
Does not load after update of 6the April Samsung 22 ultra. Can't use it. No meanful message. Just bombs out. Done all the usual stuff shopee support has requested.,load updat april samsung ultra use mean messag bomb done usual stuff support request,1,1
Been using the app for years and satisfied with the overall buying experiences and enjoy the games and give away free coins. So far no big issue for accessing all the contents.,use year satisfi overal buy experi enjoy game give away free coin far big issu access content,5,0
"Dear Buyer, please be aware buying product from shopee. I bought it extra hard disc at shoppe and finally known this is fraut versions. Several times contact to customer service to solve this issue and they reply that contact to seller. This seller already block at their platform and not able to contact too. Very unsponble seller. Finally resolved. Thanks",dear buyer pleas awar buy product bought extra hard disc shopp final known fraut version sever time contact custom servic solv issu repli contact alreadi block platform abl contact unsponbl final resolv thank,1,1
Is shopee app down? I clicked on item I want to see but was redirected back to homepage with error messages like oops..something went wrong. This happened throughout whole day,click want see redirect back homepag error messag like oop someth went wrong happen throughout whole day,2,1
"It was working fine, until updates broke my app. Tried reinstalling, updating again, but I still can't press on my notifications and I can't water my plants. Idk what happened, but other than that it is amazing",work fine updat broke tri reinstal updat still press notif water plant idk happen amaz,3,1
"Very terrible app, I just uninstalled. Worst than Qoo10, atleast in Qoo10 you can smell the scammers. This app is full of fakes. Bought a marshall earpiece from their trusted Official Marshall Shop, the sound sucks so much which I paid at a high price. I bought it on May , now it's only July but broke already, it didnt get crushed or damaged externally as it has a hard cover. Looks like it was glued only and glue worn off. !@#$ you Shopee and your sellers.",terribl uninstal worst qoo atleast qoo smell scammer full fake bought marshal earpiec trust offici marshal shop sound suck much paid high price bought may juli broke alreadi didnt get crush damag extern hard cover look like glu glue worn,1,1
"The app has many good rewards and cashbacks which are good and easy to get. The games they have, has good interface and interaction response. Most of the sellers has reviews which you can check to make sure you know you will get what quality of product as compared to the seller's photos. Their customer service is good and efficient too!",mani good reward cashback good easi get game good interfac interact respons review check make sure know get qualiti product compar photo custom servic good effici,5,0
"Wanted to claim my free $5 free gift after my first purchase but couldn't claim at all as it stated either network error please check your connection or unknown error please try again. It's certainly a hoax, where got such good thing in this world? There's nothing wrong with my connection at all! I still can watch my Netflix in Ultra HD! I've been trying for 2 days already and the problem still exists! I tried again today and the claim page became blank, no items can be claimed!",want claim free free gift first purchas claim state either network error pleas check connect unknown error pleas tri certainli hoax got good thing world noth wrong connect still watch netflix ultra hd tri day alreadi problem still exist tri today claim page becam blank claim,1,1
Keep auto stroll up when shopping. Gaming icons keep popping out. Affecting mood to shop.,keep auto stroll shop game icon keep pop affect mood shop,4,0
"Overall are good, but i cannot access the bank card and account, it keep showing errors, hope that customer service can take noted.",overal good cannot access bank card account keep show error hope custom servic take note,4,0
"Easy to use, many choices, shopee guarantee, easy refund",easi use mani choic guarante easi refund,5,0
Good platform to find items. Would be better if there are more and variety of different vouchers type each month to attract people.,good platform find would better varieti differ voucher type month attract peopl,4,0
Definitely requires a privacy mode where dubious and sellers unrelated to my interests are given free rein to follow me. Do not appreciate this feature. Even if I block them the seller should not be allowed to follow me.,definit requir privaci mode dubiou unrel interest given free rein follow appreci featur even block allow follow,2,1
RECOMMENDED. Do not hesitate to shop with Shopee. Safe on making payment for purchase. Lots of things you will love to buy and not forgetting its great offer price. Great daily deals too. More discounts too on certain cardholders. I love shopping at Shopee.. Shop with confident. Thumbs up too for the delivery service for their kindness and proffesionalism. Good job Shopee Xpress,recommend hesit shop safe make payment purchas lot thing love buy forget great offer price great daili deal discount certain cardhold love shop shop confid thumb deliveri servic kind proffesion good job xpress,5,0
"Very user friendly app Back end support is fast and effective. Point to point, clear and sharp. In my opinion, it is one of the best online shop ever. They are patient, they always arrive on time. I highly recommend.",user friendli back end support fast effect point point clear sharp opinion one best onlin shop ever patient alway arriv time highli recommend,5,0
"I like this online shopping platform. App is easy to use, it shows the delivery status, one can edit the rating once (just in case the product doesn't work few days later), prices are good & I can find almost anything under the sun!",like onlin shop platform easi use show deliveri statu one edit rate case product work day later price good find almost anyth sun,5,0
App is suddenly buggy. Keep on closing while in use. Already updated to the latest.,suddenli buggi keep close use alreadi updat latest,3,1
Prices are always reasonable and sometimes lower than competitors. Super easy to use app with accumulated rewards and all.,price alway reason sometim lower competitor super easi use accumul reward,5,0
It is 2023. I have the most powerful phone Samsung rolled out in 2022. This app still hangs after uploading a review video using the AP to record. On the 2nd paragraph it hangs the entire phone@ It hangs when I am leaving a review!!!!!... still hanging when typing a review,power phone samsung roll still hang upload review video use ap record nd paragraph hang entir phone hang leav review still hang type review,1,1
"Notifications settings don't work and get very annoying. I still get spam offers and ""lucky draw"" notifications from the app even when I have turned off everything except chat and order update notifications.",notif set work get annoy still get spam offer lucki draw notif even turn everyth except chat order updat notif,1,1
"Extremely disappointing. Signed up on 3 May 2020. Welcome gift couldn't be redeemed, fine. However, voucher for my first purchase also couldn't be used so I sought help. Shopee Live chat said they would escalate the issue but didn't get back. On 6 May, i wrote in again. Only on 19 May night was someone assigned to help. After i replied with the voucher error message, they said i am permanently limited because of 'activities' and this ban non-appealable. I didn't even do anything. Amazing.",extrem disappoint sign may welcom gift redeem fine howev voucher first purchas also use sought help live chat said would escal issu get back may wrote may night someon assign help repli voucher error messag said perman limit activ ban non appeal even anyth amaz,1,1
So far so good...product received are as per photos...,far good product receiv per photo,4,0
So far this platform has performed well for all my purchases. Good products. Great prices. Prompt delivery. No complaints yet. But need to screen the products offered carefully yourself as there are too many choices.,far platform perform well purchas good product great price prompt deliveri complaint yet need screen product offer care mani choic,5,0
